-- From saballistics 
-- GNU GPLv2
-- https://github.com/topgenorth/saballistics
 
 D (in)    Description                  Weight (grs)   B.C. 
 0.308     Woodleigh FMJ                   220        0.359
 0.308     Woodleigh RN                    220        0.367
 0.308     Sierra HPBT MatchKing           240        0.702
 0.308     Barnes Original RNSP            250        0.417
 0.308     Woodleigh SN                    300        0.416
 0.310     Hornady FMJ                     123        0.266
 0.310     Hornady SP                      123        0.252
 0.311     Lapua FMJ                       123        0.280
 0.311     Speer FMJ w/cann.               123        0.256
 0.311     Lapua Mega                      125        0.275
 0.311     Sierra Spitzer                  125        0.282
 0.311     Speer Spitzer SP w/cann.        125        0.292
 0.311     Norma Semi-pointed SP           150        0.320
 0.311     Sierra Spitzer                  150        0.341
 0.311     Speer Spitzer SP                150        0.411
 0.311     Sierra HPBT MatchKing           174        0.493
 0.311     HT                              180        0.516
 0.311     Norma Semi-pointed SP           180        0.420
 0.311     Sierra Spitzer                  180        0.411
 0.311     Speer Round Nose SP             180        0.328
 0.311     Speer Grand Slam SP             200        0.441
 0.312     Hornady SP                      150        0.361
 0.312     Hornady RN                      174        0.262
 0.321     Hornady FP                      170        0.249
 0.321     Speer Flat SP                   170        0.297
 0.323     Hornady SP                      125        0.246
 0.323     Hornady SP                      150        0.290
 0.323     Sierra Spitzer                  150        0.329
 0.323     Speer Spitzer SP                150        0.369
 0.323     Hornady RN                      170        0.217
 0.323     Speer Semi-Spitzer SP           170        0.354
 0.323     Sierra Spitzer                  175        0.381
 0.323     Barnes "X" S                    180        0.382
 0.323     HT                              180        0.506
 0.323     Norma Alaska                    196        0.300
 0.323     Norma Vulkan                    196        0.340
 0.323     Woodleigh SN                    196        0.370
 0.323     Barnes "X" S                    200        0.429
 0.323     HT                              200        0.560
 0.323     Lapua SP                        200        0.289
 0.323     Nosler Spitzer Partition        200        0.426
 0.323     Speer Spitzer SP                200        0.411
 0.323     Jensen J26                      210        0.559
 0.323     Barnes "X" S                    220        0.462
 0.323     Barnes Solid                    220        0.294
 0.323     Hornady SP                      220        0.464
 0.323     Sierra Spitzer Boat Tail        220        0.524
 0.330     Woodleigh FMJ                   250        0.364
 0.330     Woodleigh SN                    250        0.420
 0.333     Woodleigh SN                    250        0.400
 0.333     Woodleigh FMJ                   300        0.419
 0.333     Woodleigh SN                    300        0.428
 0.338     Barnes "X" S                    160        0.337
 0.338     Barnes "X" S                    175        0.392
 0.338     Barnes "X" BT                   185        0.437
 0.338     Barnes "X" S                    200        0.440
 0.338     Barnes Solid                    200        0.465
 0.338     Bitterroot                      200        0.407
 0.338     HT                              200        0.508
 0.338     Hornady FP                      200        0.200
 0.338     Hornady SP                      200        0.361
 0.338     Jensen J26                      200        0.483
 0.338     Nosler Ballistic Tip            200        0.414
 0.338     Speer Spitzer SP                200        0.448
 0.338     Barnes "X" BT                   210        0.471
 0.338     Barnes Solid                    210        0.480
 0.338     Nosler Spitzer Partition        210        0.400
 0.338     Sierra Spitzer Boat Tail        210        0.485
 0.338     HT                              215        0.525
 0.338     Barnes "X" S                    225        0.482
 0.338     Barnes Solid                    225        0.506
 0.338     Bitterroot                      225        0.452
 0.338     Hornady SP                      225        0.397
 0.338     Jensen J26                      225        0.545
 0.338     Nosler Spitzer Partition        225        0.454
 0.338     Speer Spitzer SP BT             225        0.484
 0.338     Swift A-Frame                   225        0.396
 0.338     Woodleigh PP                    225        0.425
 0.338     HT                              230        0.583
 0.338     A-Square Dead Tough SP          250        0.306
 0.338     A-Square Lion Load SP           250        0.306
 0.338     A-Square Monolithic Solid       250        0.306
 0.338     Barnes "X" S                    250        0.521
 0.338     Barnes Solid                    250        0.326
 0.338     Bitterroot                      250        0.508
 0.338     Hornady RN                      250        0.291
 0.338     Hornady SP                      250        0.431
 0.338     Jensen J26                      250        0.606
 0.338     Lapua Forex SP                  250        0.300
 0.338     Lapua Lock Base FMJ             250        0.662
 0.338     Nosler Spitzer Partition        250        0.473
 0.338     Sierra Spitzer Boat Tail        250        0.563
 0.338     Speer Grand Slam SP             250        0.431
 0.338     Swift A-Frame                   250        0.440
 0.338     Woodleigh FMJ                   250        0.326
 0.338     Woodleigh PP                    250        0.470
 0.338     Woodleigh SN                    250        0.332
 0.338     Speer AGS Tungsten Solid        275        0.291
 0.338     Speer Semi-Spitzer SP           275        0.456
 0.338     Swift A-Frame                   275        0.484
 0.338     Sierra HPBT MatchKing           300        0.768
 0.338     Woodleigh FMJ                   300        0.398
 0.348     Barnes "X" FN                   200        0.291
 0.348     Hornady FP                      200        0.246
 0.348     Barnes "X" FN                   220        0.315
 0.348     Barnes Original RNSP            220        0.301
 0.348     Barnes Original RNSP            250        0.327
 0.358     Barnes "X" S                    180        0.298
